BRG NO,Span Grp,Span Length,Span Length for cal,Span Type,LL:DL Ratio,Year BLT,Rating,>ST45,Semi-Trailer,B-Double,No of lane,Design Key,SPAN@ABS,DESIGNBM,DESIGNShear,HMLBM,HMLShear ,Rating BM,Rating Shear,Final BM,Final Shear,Allowance (DesignLoad),Allowance(FinalRating)
10750,1,60.5,60.5,PBOXG,5,2013,,0,Y,Y,2,9,0.5,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10750,3,60.5,60.5,PBOXG,5,2013,,0,Y,Y,2,9,0.5,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10750,2,75,75,PBOXG,5,2013,,0,Y,Y,2,9,0,25080,1705,9277.783839,644.935,0,0,9277.784,644.935,0.05,0.111
10751,1,15,15,PPLNK,3.5,2012,,0,Y,Y,2,9,0,2165.626,643.5,1183.382904,387.244,0,0,1183.383,387.244,0.05,0.111
10752,1,22.85,22.85,PSUTG,4,2012,,0,Y,Y,2,9,0.85,5013.595,942.43,2272.153265,472.193,0,0,2272.153,472.193,0.05,0.111
10753,1,22.85,22.85,PSUTG,4,2012,,0,Y,Y,2,9,0.85,5013.595,942.43,2272.153265,472.193,0,0,2272.153,472.193,0.05,0.111
10754,1,38.6,38.6,PVSLB,3.5,2012,,0,Y,Y,2,9,0.6,13310,1430.446,5335.185137,595.443,0,0,5335.185,595.443,0.05,0.111
10755,1,38.6,38.6,PVSLB,3.5,2012,,0,Y,Y,2,9,0.6,13310,1430.446,5335.185137,595.443,0,0,5335.185,595.443,0.05,0.111
10756,1,15.45,15.45,PPLNK,3.5,2012,,0,Y,Y,2,9,0.45,2304.845,660.206,1242.383347,391.82,0,0,1242.383,391.82,0.05,0.111
10758,1,15.45,15.45,PPLNK,3.5,2013,,0,Y,Y,2,9,0.45,2304.845,660.206,1242.383347,391.82,0,0,1242.383,391.82,0.05,0.111
